title,price,description,esrb_rating,genre,manufacturer,platform,release_date,weight,stock
Asdivine Cross (Limited Run Games)   PlayStation 4 PS4,54.99,,Everyone_10_Plus,RPG,LRGAMES,PS4,23-Sep-22,0.1650 lbs,47
Asdivine Dios (Limited Run Games)   PlayStation 4 PS4,49.99,,Everyone_10_Plus,RPG,LRGAMES,PS4,06-Nov-20,0.1800 lbs,1
Asdivine Hearts 2 II (Limited Run Games)   PlayStation 4 PS4,49.99,"Asdivine Hearts II is on a region-free physical disc for the Playstation 4.
This is not a numbered release, and thus is not a part of the Limited Run Games Collection. We are distributing this title on behalf of KillPixel. Missing out on this release will not compromise a complete Limited Run set.",Teen,RPG,LRGAMES,PS4,20-Sep-19,0.1850 lbs,25
Asdivine Menace (Limited Run Games)   PlayStation 4 PS4,49.99,"Asdivine Menace is on a region-free physical disc for the Playstation 4.
Genre: Role Playing Games",Teen,RPG,LRGAMES,PS4,18-Dec-20,0.1850 lbs,45
Asdivine Saga (Limited Run Games)   PlayStation 4 PS4,54.99,"Asdivine Saga is on a region-free physical disc for the Playstation 4. Also works on the Playstation 5.
Genre: Role-Playing, Adventure, Strategy, Simulation",Everyone_10_Plus,RPG,LRGAMES,PS4,02-Dec-22,0.1700 lbs,15
Assassins Creed Chronicles   PlayStation 4 PS4,29.99,"Follow three legendary Assassins on journeys of Revenge, Retribution and Redemption. A new saga in the Assassins Creed Universe, Assassins Creed Chronicles take players to three distinct civilizations and time periods throughout history: the start of the Ming Dynasty crumble, the Sikh Empire going at war in India and the aftermath of Red October revolution.",Teen,ACT/ADV,UBISOFT,PS4,09-Feb-16,0.1850 lbs,11
Assassins Creed Ezio Collection   PlayStation 4 PS4,29.99,,Mature,ACT/ADV,UBISOFT,PS4,15-Nov-16,8.87256E+11,41
Assassins Creed IV 4 Black Flag   PlayStation 4 PS4,29.99,,Mature,ACT/AD,UBISOFT,PS4,8888358121,0.2200 lbs,48
Assassins Creed Mirage   PlayStation 4 PS4,69.99,"BRAND NEW and SEALED Sony PlayStation 4 Game.
Note: Can be played on the Sony PlayStation 4.",Mature,ACTION,UBISOFT,PS4,05-Oct-23,0.1850 lbs,27
Assassins Creed Odyssey   PlayStation 4 PS4,49.99,,Mature,ACTION,UBISOFT,PS4,05-Oct-18,8.87256E+11,44
Assassins Creed Origins   PlayStation 4 PS4,29.99,,Mature,ACTION,UBISOFT,PS4,27-Oct-17,8.87256E+11,24
Assassins Creed Syndicate   PlayStation 4 PS4,29.99,"As gangster killer Jacob Frye, you recruit a gang to fight for justice on behalf of the oppressed working class. Lead the underworld to reclaim London in an adventure filled with action, intrigue and brutal combat.",Mature,ACT/AD,UBISOFT,PS4,23-Oct-15,8.87256E+11,9
Assassins Creed Valhalla   PlayStation 4 PS4,79.99,"BRAND NEW and SEALED Sony Playstation 4 Game.
Note: Can be played on the Sony Playstation 4 Only.",Mature,ACTION,UBISOFT,PS4,10-Nov-20,8.87256E+11,25
Astalon Tears of the Earth (Limited Run Games)   PlayStation 4 PS4,54.99,Astalon: Tears of the Earth is on a region-free physical disc for the Playstation 4. Also works on the Playstation 5.,,,,,,,27
Astria Ascending   PlayStation 4 PS4,39.99,"BRAND NEW and SEALED Sony PlayStation 4 Game.
Note: Can be played on the Sony PlayStation 4.",Teen,RPG,MAXIMUM,PS4,02-Nov-21,0.1750 lbs,39
Astro Aqua Kitty (Limited Run Games)   PlayStation 4 PS4,49.99,Astro Aqua Kitty is on a region-free physical disc for the Playstation 4. Also works on the Playstation 5.,Everyone,ACTION,LRGAMES,PS4,18-Mar-22,0.2050 lbs,22
Astro Aqua Kitty Ost Bundle (Limited Run Games)   PlayStation 4 PS4,74.99,Astro Aqua Kitty is on a region-free physical disc for the Playstation 4. Also works on the Playstation 5.,Everyone,ACTION,LRGAMES,PS4,18-Mar-22,0.3950 lbs,2
Astro Bot Rescue Mission (PSVR)   PlayStation 4 PS4,29.99,,Everyone_10_Plus,SIMULATION,SONY,PS4,02-Oct-18,0.1800 lbs,23
Astronite   PlayStation 4 PS4,39.99,"BRAND NEW and SEALED Sony PlayStation 4 Game.
Note: Can be played on the Sony PlayStation 4.",Everyone_10_Plus,ACTION,FUNSTOCK,PS4,02-Dec-22,0.1700 lbs,7
Atari 50 the Anniversary Celebration   PlayStation 4 PS4,39.99,"BRAND NEW and SEALED Sony PlayStation 4 Game.
Note: Can be played on the Sony PlayStation 4.",Teen,COLLECTION,U&I ENTMNT,PS4,11-Nov-22,0.1700 lbs,9
Atari Flashback Classics Collection Vol.2 (UK)   PlayStation 4 PS4,24.99,"BRAND NEW and SEALED Sony Playstation 4 Game.
Note: Can be played on the Sony Playstation 4 Only.",Everyone_10_Plus,ACT/AD,ATARI GAME,PS4,7.42726E+11,,48
Atari Flashback Volume 1   PlayStation 4 PS4,29.99,,Everyone,COLLECTION,ATARI GAME,PS4,12-Oct-16,0.1750 lbs,19
Atari Flashback Volume 2   PlayStation 4 PS4,29.99,,Everyone,COLLECTION,ATARI GAME,PS4,12-Oct-16,0.1700 lbs,14
Atari Flashback Volume 3   PlayStation 4 PS4,29.99,,Everyone,COLLECTION,ATARI GAME,PS4,13-Dec-18,0.1750 lbs,2
Atari Recharged Collection Vol 1 (Asteroids and Breakout) (Limited Run Games)   PlayStation 4 PS4,54.99,,Everyone,COMP,LRGAMES,PS4,25-Nov-22,0.1900 lbs,36
Atelier Ryza 3 Alchemist of the End and the Secret Key   PlayStation 4 PS4,79.99,,Teen,RPG,TECMO KOEI,PS4,24-Mar-23,0.1800 lbs,36
Atomic Heart   PlayStation 4 PS4,89.99,,Mature,ACTION,MAXIMUM,PS4,21-Feb-23,0.3100 lbs,18
ATV Drift and Tricks Definitive Edition   PlayStation 4 PS4,34.99,"BRAND NEW and SEALED Sony Playstation 4 Game.
Note: Can be played on the Sony Playstation 4 Only.",Everyone,RACING,MAXIMUM,PS4,20-Nov-18,0.1750 lbs,9
Avatar the Last Airbender Quest for Balance   PlayStation 4 PS4,49.99,"BRAND NEW and SEALED Sony PlayStation 4 Game.
Note: Can be played on the Sony PlayStation 4.",Everyone,ACT/AD,GAMEMILL,PS4,22-Sep-23,0.1750 lbs,39
Away Journey to the Unexpected (Limited Run Games)   PlayStation 4 PS4,54.99,"Away: Journey To The Unexpected is on a region-free physical disc for the PlayStation 4.
This release is not a part of the Limited Run Games Collection and is not a numbered release. Missing out on this release will not compromise a complete Limited Run set.",Teen,ACT/AD,LRGAMES,PS4,31-Dec-19,0.1950 lbs,4
Awesomenauts Assemble!   PlayStation 4 PS4,29.99,,Teen,MOBA,SODESCO,PS4,04-Mar-14,0.1850 lbs,27
Axiom Verge 1 + 2 Dual Pack (Limited Run Games)   PlayStation 4 PS4,69.99,Axiom Verge 1 & 2 on a region-free physical disc for the Playstation 4. Both games are included physically on a single disc. Includes a full-color manual.,Teen,PLATFORMER,LRGAMES,PS4,01-Oct-21,0.2400 lbs,41
Axiom Verge 2 (Limited Run Games)   PlayStation 4 PS4,54.99,Axiom Verge 2 on a region-free physical disc for Playstation 4.,Teen,PLATFORMER,LRGAMES,PS4,01-Oct-21,0.2100 lbs,7
